Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
18;19700173023;"Living Reviews in Solar Physics";journal;"16144961, 23673648";"Springer International Publishing AG";Yes;Yes;7,431;Q1;74;1;10;804;268;10;30,29;804,00;0,00;0;0;Switzerland;Western Europe;"Springer International Publishing AG";"2004-2024";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences; Physics and Astronomy"
19;21101274720;"Interdisciplinary Materials";journal;"2767441X, 27674401";"John Wiley and Sons Inc";Yes;No;7,351;Q1;34;34;72;3360;2020;69;28,06;98,82;32,77;0;20;United States;Northern America;"John Wiley and Sons Inc";"2022-2024";"Materials Science (miscellaneous) (Q1)";"Materials Science"
20;21100873499;"Nature Sustainability";journal;"23989629";"Nature Publishing Group";Yes;No;7,292;Q1;146;228;596;9608;11969;435;17,96;42,14;34,37;23;173;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2025";"Ecology (Q1); Food Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Renewable Energy, Sustainability and the Environment (Q1); Urban Studies (Q1)";"Agricultural and Biological Sciences; Energy; Environmental Science; Social Sciences"
21;21101046404;"Advances in Methods and Practices in Psychological Science";journal;"25152459, 25152467";"SAGE Publications Inc.";Yes;No;6,947;Q1;49;46;88;2513;1474;87;13,50;54,63;45,45;1;2;United States;Northern America;"SAGE Publications Inc.";"2018-2025";"Psychology (miscellaneous) (Q1)";"Psychology"
22;21101186818;"Organization Theory";journal;"26317877";"SAGE Publications Ltd";Yes;Yes;6,872;Q1;33;16;77;1467;851;75;8,00;91,69;48,57;0;2;United Kingdom;Western Europe;"SAGE Publications Ltd";"2020-2024";"Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
23;21100922606;"The Lancet Digital Health";journal;"25897500";"Elsevier Ltd";Yes;No;6,838;Q1;85;137;388;3207;6071;218;15,30;23,41;39,33;0;59;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2025";"Decision Sciences (miscellaneous) (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)";"Decision Sciences; Health Professions; Medicine"
24;21100201772;"Physical Review X";journal;"21603308";"American Physical Society";Yes;No;6,415;Q1;198;243;680;19831;10309;675;15,06;81,61;18,04;0;7;United States;Northern America;"American Physical Society";"2011-2025";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
25;21100866005;"Cancer Communications";journal;"25233548";"John Wiley &amp; Sons Inc.";Yes;No;6,403;Q1;94;100;319;7285;4682;180;12,32;72,85;39,39;0;81;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2017-2025";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
26;21100858657;"The Lancet Planetary Health";journal;"25425196";"Elsevier B.V.";Yes;No;6,386;Q1;90;173;457;5719;6531;271;11,39;33,06;49,26;0;113;Netherlands;Western Europe;"Elsevier B.V.";"2017-2025";"Health Policy (Q1); Health (social science) (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Social Sciences"
27;21101101215;"Cell Genomics";journal;"2666979X";"Cell Press";Yes;No;6,238;Q1;31;149;247;11000;2004;203;7,85;73,83;40,97;0;52;United States;Northern America;"Cell Press";"2021-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
