Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
3300;21100900143;"Journal of Social Ontology";journal;"21969663";"University of Vienna";Yes;Yes;0,549;Q1;14;20;30;515;56;30;0,36;25,75;33,33;0;1;Australia;Pacific Region;"University of Vienna";"2015-2024";"Anthropology (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Linguistics and Language (Q1); Philosophy (Q1); Communication (Q2); Social Psychology (Q3)";"Arts and Humanities; Economics, Econometrics and Finance; Psychology; Social Sciences"
3301;21101181906;"Ornamental Plant Research";journal;"27692094";"Maximum Academic Press";Yes;No;0,549;Q1;7;32;56;2163;133;53;2,36;67,59;43,56;0;6;United States;Northern America;"Maximum Academic Press";"2021-2025";"Horticulture (Q1); Plant Science (Q2)";"Agricultural and Biological Sciences"
3302;110096;"Folia Histochemica et Cytobiologica";journal;"02398508, 18975631";"Via Medica";Yes;No;0,549;Q2;48;22;80;1111;187;80;2,51;50,50;57,69;0;8;Poland;Eastern Europe;"Via Medica";"1984-2024";"Medicine (miscellaneous) (Q2); Pathology and Forensic Medicine (Q2); Histology (Q3)";"Medicine"
3303;33949;"Geologie en Mijnbouw/Netherlands Journal of Geosciences";journal;"00167746";"Cambridge University Press";Yes;No;0,549;Q2;54;26;47;1802;100;45;2,17;69,31;26,58;0;5;Netherlands;Western Europe;"Cambridge University Press";"1970-1971, 1973-2024";"Geology (Q2)";"Earth and Planetary Sciences"
3304;21100461912;"Journal of Oral Biology and Craniofacial Research";journal;"22124276, 22124268";"Elsevier B.V.";Yes;No;0,549;Q2;39;133;377;4322;1052;369;2,69;32,50;45,50;0;31;Netherlands;Western Europe;"Elsevier B.V.";"2011-2025";"Dentistry (miscellaneous) (Q2); Otorhinolaryngology (Q2)";"Dentistry; Medicine"
3305;21100943572;"Journal of the Canadian Health Libraries Association";journal;"17086892";"Canadian Health Libraries Association";Yes;Yes;0,548;Q1;7;14;32;288;38;24;1,21;20,57;91,18;0;1;Canada;Northern America;"Canadian Health Libraries Association";"2018-2024";"Library and Information Sciences (Q1); Medicine (miscellaneous) (Q2)";"Medicine; Social Sciences"
3306;21101030459;"Advances in Medical Education and Practice";journal;"11797258";"Dove Medical Press Ltd.";Yes;No;0,548;Q2;47;150;516;4080;1020;427;1,80;27,20;44,52;0;49;United Kingdom;Western Europe;"Dove Medical Press Ltd.";"2010-2025";"Education (Q2)";"Social Sciences"
3307;21100255440;"Frontiers in Bioscience - Elite";journal;"19450508, 19450494";"IMR Press Limited";Yes;No;0,548;Q2;63;40;76;3560;213;76;2,51;89,00;50,98;0;24;United States;Northern America;"IMR Press Limited";"2009-2024";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Medicine (miscellaneous) (Q2)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
3308;21100400829;"Mires and Peat";journal;"1819754X";"The International Mire Conservation Group (IMCG)";Yes;Yes;0,548;Q2;26;35;88;2399;156;87;1,55;68,54;37,04;0;24;Germany;Western Europe;"The International Mire Conservation Group (IMCG)";"2015-2024";"Aquatic Science (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Nature and Landscape Conservation (Q2); Soil Science (Q2)";"Agricultural and Biological Sciences; Environmental Science"
3309;14174;"Molecular Vision";journal;"10900535";"Molecular Vision";Yes;Yes;0,548;Q2;108;43;141;1900;259;141;1,41;44,19;46,53;0;7;United States;Northern America;"Molecular Vision";"1995-2025";"Ophthalmology (Q2)";"Medicine"
3310;21101197327;"Power Electronic Devices and Components";journal;"27723704";"Elsevier B.V.";Yes;No;0,547;Q2;7;18;50;711;136;49;2,72;39,50;16,67;0;3;Netherlands;Western Europe;"Elsevier B.V.";"2022-2025";"Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)";"Computer Science; Engineering; Physics and Astronomy"
3311;21100860440;"Journal of Specialised Translation";journal;"1740357X";"University of Roehampto";Yes;Yes;0,546;Q1;41;30;79;1028;101;72;1,31;34,27;65,96;0;6;United Kingdom;Western Europe;"University of Roehampto";"2004-2025";"Linguistics and Language (Q1)";"Social Sciences"
3312;21100205737;"Veterinary Medicine International";journal;"20908113, 20420048";"John Wiley and Sons Ltd";Yes;No;0,546;Q1;44;52;208;2157;546;208;2,33;41,48;31,41;0;11;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2010-2024";"Veterinary (miscellaneous) (Q1)";"Veterinary"
3313;19900193844;"Arab Journal of Urology";journal;"2090598X, 20905998";"Taylor and Francis Ltd.";Yes;Yes;0,546;Q2;34;56;132;1659;244;122;1,24;29,63;13,06;0;12;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2025";"Urology (Q2)";"Medicine"
3314;21101019776;"Beverages";journal;"23065710";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,546;Q2;42;126;262;6993;822;252;2,95;55,50;52,37;0;25;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2015-2024";"Food Science (Q2)";"Agricultural and Biological Sciences"
3315;21101040622;"Health Services Research and Managerial Epidemiology";journal;"23333928";"SAGE Publications Inc.";Yes;No;0,546;Q2;16;24;95;797;173;86;1,67;33,21;42,11;1;12;United States;Northern America;"SAGE Publications Inc.";"2014-2024";"Health Policy (Q2); Epidemiology (Q3)";"Medicine"
3316;21100208308;"Journal of Chemistry";journal;"20909071, 20909063";"John Wiley and Sons Ltd";Yes;No;0,546;Q2;86;66;749;3660;2780;747;3,23;55,45;36,83;0;28;United States;Northern America;"John Wiley and Sons Ltd";"2013-2024";"Chemistry (miscellaneous) (Q2)";"Chemistry"
3317;21100809798;"Iraqi Journal of Agricultural Sciences";journal;"00750530, 24100862";"University of Baghdad, College of Agriculture";Yes;No;0,545;Q1;20;213;491;7438;1216;491;2,47;34,92;41,98;0;64;Iraq;Middle East;"University of Baghdad, College of Agriculture";"2016-2025";"Animal Science and Zoology (Q1); Horticulture (Q1); Veterinary (miscellaneous) (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2); Food Animals (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Environmental Science; Veterinary"
3318;19700167012;"Pamatky Archeologicke";journal;"00310506";"Institute of Archealogy of the Academy of Sciences of the Czech Republic";Yes;No;0,545;Q1;13;8;21;866;19;21;0,62;108,25;44,44;0;0;Czech Republic;Eastern Europe;"Institute of Archealogy of the Academy of Sciences of the Czech Republic";"2009-2013, 2015-2024";"Archeology (Q1); Archeology (arts and humanities) (Q1)";"Arts and Humanities; Social Sciences"
3319;21101201901;"Bulletin of Geological Science and Technology";journal;"20968523";"Editorial Department of Bulletin of Geological Science and Technology";Yes;No;0,545;Q2;21;167;560;6870;1004;560;1,88;41,14;31,32;0;60;China;Asiatic Region;"Editorial Department of Bulletin of Geological Science and Technology";"2020-2024";"Computers in Earth Sciences (Q2); Geophysics (Q2); Geotechnical Engineering and Engineering Geology (Q2); Oceanography (Q2)";"Earth and Planetary Sciences"
3320;19700180503;"Discussiones Mathematicae - Graph Theory";journal;"20835892, 12343099";"University of Zielona Gora";Yes;Yes;0,545;Q2;23;73;215;1423;180;214;1,05;19,49;33,33;0;0;Poland;Eastern Europe;"University of Zielona Gora";"2009-2025";"Applied Mathematics (Q2); Discrete Mathematics and Combinatorics (Q2)";"Mathematics"
3321;21101210876;"Journal for Labour Market Research";journal;"25105027, 25105019";"Springer Nature";Yes;Yes;0,545;Q2;30;27;74;1477;165;74;1,85;54,70;47,92;2;24;Germany;Western Europe;"Springer Nature";"2013-2025";"Economics and Econometrics (Q2); Industrial Relations (Q2); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
3322;21100857954;"Journal of Daylighting";journal;"23838701";"Solarlits";Yes;Yes;0,545;Q2;17;23;51;1249;146;51;2,55;54,30;46,55;0;12;Pakistan;Asiatic Region;"Solarlits";"2014-2025";"Energy (miscellaneous) (Q2); Renewable Energy, Sustainability and the Environment (Q3)";"Energy"
3323;21100399705;"Minerals";journal;"2075163X";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,545;Q2;69;1299;4610;82177;11961;4525;2,46;63,26;32,55;3;250;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2010-2025";"Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2)";"Earth and Planetary Sciences"
3324;21101149929;"Therapeutic Advances in Rare Disease";journal;"26330040";"SAGE Publications Ltd";Yes;Yes;0,545;Q2;8;35;47;1188;108;45;2,29;33,94;65,15;0;5;United Kingdom;Western Europe;"SAGE Publications Ltd";"2020-2025";"Internal Medicine (Q2)";"Medicine"
3325;19700182320;"Advances in Human-Computer Interaction";journal;"16875893, 16875907";"John Wiley and Sons Ltd";Yes;No;0,545;Q3;32;4;49;409;215;49;3,27;102,25;35,71;0;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2010-2024";"Human-Computer Interaction (Q3)";"Computer Science"
3326;21100967241;"Epilepsy and Behavior Reports";journal;"25899864";"Elsevier Inc.";Yes;No;0,545;Q3;23;94;231;3142;428;212;1,60;33,43;39,84;0;10;United States;Northern America;"Elsevier Inc.";"2019-2025";"Neurology (Q3); Neurology (clinical) (Q3); Behavioral Neuroscience (Q4)";"Medicine; Neuroscience"
3327;23173;"Korean Journal of Physiology and Pharmacology";journal;"20933827, 12264512";"Korean Physiological Soc. and Korean Soc. of Pharmacology";Yes;No;0,545;Q3;43;53;161;2277;340;161;2,12;42,96;45,71;0;19;South Korea;Asiatic Region;"Korean Physiological Soc. and Korean Soc. of Pharmacology";"1997-2025";"Pharmacology (Q3); Physiology (Q3)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
3328;21100854451;"Global Journal of Environmental Science and Management";journal;"23833866, 23833572";"GJESM Publication";Yes;No;0,544;Q1;38;145;166;8858;663;166;4,45;61,09;39,68;0;122;Iran;Middle East;"GJESM Publication";"2015-2025";"Architecture (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Environmental Engineering (Q2); Environmental Science (miscellaneous) (Q2); Pollution (Q2); Social Sciences (miscellaneous) (Q2); Waste Management and Disposal (Q2)";"Agricultural and Biological Sciences; Engineering; Environmental Science; Social Sciences"
3329;21100900363;"Frontiers in Materials";journal;"22968016";"Frontiers Media SA";Yes;No;0,544;Q2;67;363;2052;18458;6333;1912;2,83;50,85;27,91;0;96;Switzerland;Western Europe;"Frontiers Media SA";"2014-2025";"Materials Science (miscellaneous) (Q2)";"Materials Science"
3330;21100898619;"International Journal for Research in Vocational Education and Training";journal;"21978646, 21978638";"European Research Network Vocational Education and Training";Yes;Yes;0,544;Q2;18;18;55;1174;119;55;1,84;65,22;47,37;0;15;Germany;Western Europe;"European Research Network Vocational Education and Training";"2014-2025";"Education (Q2)";"Social Sciences"
3331;21100241624;"International Journal of Genomics";journal;"2314436X, 23144378";"John Wiley and Sons Ltd";Yes;No;0,544;Q2;40;24;113;1146;291;112;2,04;47,75;36,42;0;12;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2013-2024";"Pharmaceutical Science (Q2); Biochemistry (Q3); Genetics (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
3332;130135;"International Journal of Ophthalmology";journal;"22274898, 22223959";"Press of International Journal of Ophthalmology";Yes;No;0,544;Q2;48;283;1035;10492;1713;893;1,68;37,07;45,41;0;32;China;Asiatic Region;"Press of International Journal of Ophthalmology";"2005-2025";"Ophthalmology (Q2)";"Medicine"
3333;12734;"Issues in Educational Research";journal;"03137155, 18376290";"Western Australian Institute for Educational Research Inc.";Yes;Yes;0,544;Q2;36;91;246;4471;502;231;1,78;49,13;62,44;0;31;Australia;Pacific Region;"Western Australian Institute for Educational Research Inc.";"2002-2024";"Education (Q2)";"Social Sciences"
3334;21100937441;"Vestnik Archeologii, Antropologii i Etnografii";journal;"18117465, 20710437";"Tyumen Scientific Centre of Siberian Branch of the Russian Academy of Sciences";Yes;Yes;0,543;Q1;7;74;223;2467;94;223;0,42;33,34;51,41;0;19;Russian Federation;Eastern Europe;"Tyumen Scientific Centre of Siberian Branch of the Russian Academy of Sciences";"2019-2024";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1)";"Arts and Humanities; Social Sciences"
3335;21100903432;"Central Bank Review";journal;"13030701, 25241699";"Elsevier B.V.";Yes;No;0,543;Q2;18;16;39;821;76;39;1,38;51,31;18,75;0;13;Netherlands;Western Europe;"Elsevier B.V.";"2016-2025";"Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
3336;21101207446;"Discover Applied Sciences";journal;"30049261";"Springer Nature";Yes;No;0,543;Q2;74;640;1581;37204;6156;1574;2,91;58,13;28,07;0;268;Switzerland;Western Europe;"Springer Nature";"2024-2025";"Chemical Engineering (miscellaneous) (Q2); Earth and Planetary Sciences (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2); Materials Science (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)";"Chemical Engineering; Earth and Planetary Sciences; Engineering; Environmental Science; Materials Science; Physics and Astronomy"
3337;18400156716;"Fottea";journal;"18025439, 18054927";"Czech phycological Society";Yes;No;0,543;Q2;35;17;61;878;114;60;1,66;51,65;37,89;0;1;Czech Republic;Eastern Europe;"Czech phycological Society";"2008-2024";"Plant Science (Q2)";"Agricultural and Biological Sciences"
3338;21100405022;"Geoscientific Instrumentation, Methods and Data Systems";journal;"21930864, 21930856";"Copernicus Publications";Yes;No;0,543;Q2;28;28;73;1141;161;73;2,17;40,75;26,49;0;5;Germany;Western Europe;"Copernicus Publications";"2012-2025";"Geology (Q2); Oceanography (Q2); Atmospheric Science (Q3)";"Earth and Planetary Sciences"
3339;21100905985;"IEEE Journal on Exploratory Solid-State Computational Devices and Circuits";journal;"23299231";"Institute of Electrical and Electronics Engineers Inc.";Yes;No;0,543;Q2;25;23;82;791;209;73;2,83;34,39;19,44;0;11;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015-2025";"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Hardware and Architecture (Q2)";"Computer Science; Engineering; Materials Science"
3340;5100155056;"Journal of Hydroinformatics";journal;"14647141, 14651734";"IWA Publishing";Yes;No;0,543;Q2;65;184;299;8327;876;297;2,90;45,26;27,02;0;110;United Kingdom;Western Europe;"IWA Publishing";"1999-2025";"Civil and Structural Engineering (Q2); Geotechnical Engineering and Engineering Geology (Q2); Water Science and Technology (Q2); Atmospheric Science (Q3)";"Earth and Planetary Sciences; Engineering; Environmental Science"
3341;21101140109;"Annals of 3D Printed Medicine";journal;"26669641";"Elsevier Masson s.r.l.";Yes;No;0,543;Q3;16;34;94;1744;416;92;3,61;51,29;29,45;0;11;United States;Northern America;"Elsevier Masson s.r.l.";"2021-2025";"Biomedical Engineering (Q3); Health Informatics (Q3)";"Engineering; Medicine"
3342;21100468931;"Avian Research";journal;"20537166";"KeAi Communications Co.";Yes;No;0,542;Q1;24;64;214;4155;426;205;1,79;64,92;42,05;0;23;China;Asiatic Region;"KeAi Communications Co.";"2014-2025";"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2)";"Agricultural and Biological Sciences"
3343;21101140113;"Human Factors in Healthcare";journal;"27725014";"Elsevier Inc.";Yes;No;0,542;Q1;7;25;49;1174;128;48;2,90;46,96;42,00;0;7;United States;Northern America;"Elsevier Inc.";"2021-2025";"Health Professions (miscellaneous) (Q1); Human Factors and Ergonomics (Q2)";"Health Professions; Social Sciences"
3344;4400151712;"International Journal of Fruit Science";journal;"15538362";"Taylor and Francis Ltd.";Yes;No;0,542;Q1;40;29;174;1285;630;174;3,14;44,31;38,33;0;11;United States;Northern America;"Taylor and Francis Ltd.";"2005-2025";"Horticulture (Q1); Agronomy and Crop Science (Q2); Ecology (Q2); Plant Science (Q2)";"Agricultural and Biological Sciences; Environmental Science"
3345;21100826373;"Music Theory Online";journal;"10673040";"Society for Music Theory";Yes;Yes;0,542;Q1;11;23;115;2434;81;114;0,63;105,83;35,48;0;0;United States;Northern America;"Society for Music Theory";"2017-2024";"Music (Q1)";"Arts and Humanities"
3346;21100853884;"Audiology Research";journal;"20394349, 20394330";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,542;Q2;13;93;211;3775;393;201;1,72;40,59;46,10;0;21;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2011, 2014-2017, 2020-2024";"Otorhinolaryngology (Q2); Podiatry (Q2)";"Health Professions; Medicine"
3347;21100238633;"BioImpacts";journal;"22285652, 22285660";"Tabriz University of Medical Sciences";Yes;Yes;0,542;Q2;48;43;144;3092;387;140;2,62;71,91;43,46;0;24;Iran;Middle East;"Tabriz University of Medical Sciences";"2011-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2); Pharmaceutical Science (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
3348;21101045763;"Journal of Media Literacy Education";journal;"21678715";"National Association for Media Literacy Education";Yes;Yes;0,542;Q2;15;27;90;1435;216;90;2,59;53,15;56,45;0;8;United States;Northern America;"National Association for Media Literacy Education";"2019-2024";"Communication (Q2); Education (Q2)";"Social Sciences"
3349;21100840020;"Perspectives on Terrorism";journal;"23343745";"International Centre for Counter-Terrorism (ICCT)";Yes;Yes;0,541;Q1;23;34;171;5696;253;169;1,27;167,53;44,93;0;18;United States;Northern America;"International Centre for Counter-Terrorism (ICCT)";"2017-2024";"Law (Q1); Political Science and International Relations (Q2); Safety Research (Q2)";"Social Sciences"
3350;21101041553;"Tourism and Management Studies";journal;"21828466, 21828458";"University of Algarve";Yes;Yes;0,541;Q1;14;30;51;2341;275;51;4,85;78,03;55,56;0;12;Portugal;Western Europe;"University of Algarve";"2019-2025";"Cultural Studies (Q1); Business, Management and Accounting (miscellaneous) (Q2); Tourism, Leisure and Hospitality Management (Q2)";"Business, Management and Accounting; Social Sciences"
3351;21100201717;"Veterinary World";journal;"22310916, 09728988";"Veterinary World";Yes;No;0,541;Q1;56;321;1090;15380;2999;1090;2,56;47,91;45,48;0;89;India;Asiatic Region;"Veterinary World";"2008-2025";"Veterinary (miscellaneous) (Q1)";"Veterinary"
3352;17461;"European Journal of Histochemistry";journal;"1121760X, 20388306";"Page Press Publications";Yes;No;0,541;Q2;51;37;160;1514;343;159;1,99;40,92;49,74;0;12;Italy;Western Europe;"Page Press Publications";"1992-2025";"Medicine (miscellaneous) (Q2); Biophysics (Q3); Histology (Q3); Cell Biology (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3353;21101049680;"Extracta Mathematicae";journal;"26055686";"Instituto de Matematicas de la Universidad de Extremadura (IMUEX)";Yes;Yes;0,541;Q2;5;13;36;366;30;36;1,08;28,15;20,00;0;0;Spain;Western Europe;"Instituto de Matematicas de la Universidad de Extremadura (IMUEX)";"2019-2024";"Algebra and Number Theory (Q2); Analysis (Q2); Geometry and Topology (Q2); Mathematics (miscellaneous) (Q2)";"Mathematics"
3354;21100913558;"Frontiers in Surgery";journal;"2296875X";"Frontiers Media SA";Yes;No;0,541;Q2;48;586;3897;19035;7500;3762;1,79;32,48;30,02;0;179;Switzerland;Western Europe;"Frontiers Media SA";"2014-2025";"Surgery (Q2)";"Medicine"
3355;93180;"Organogenesis";journal;"15558592, 15476278";"Landes Bioscience";Yes;No;0,541;Q2;64;5;29;409;68;29;2,75;81,80;42,86;0;1;United States;Northern America;"Landes Bioscience";"2004-2005, 2007-2025";"Embryology (Q2); Transplantation (Q2); Biomedical Engineering (Q3); Developmental Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Engineering; Medicine"
3356;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";"Universidad Nacional Autonoma de Mexico";Yes;No;0,541;Q2;34;32;89;1342;115;89;1,44;41,94;34,15;0;0;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2024";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q3)";"Earth and Planetary Sciences; Physics and Astronomy"
3357;21101043232;"Journal of Psychedelic Studies";journal;"25599283";"Akademiai Kiado";Yes;Yes;0,540;Q1;14;42;78;2426;193;78;2,18;57,76;35,00;1;8;Hungary;Eastern Europe;"Akademiai Kiado";"2019-2025";"Anthropology (Q1); Clinical Psychology (Q2); Health (social science) (Q2); Pharmacology (medical) (Q3); Psychiatry and Mental Health (Q3); Social Psychology (Q3); Biological Psychiatry (Q4)";"Medicine; Neuroscience; Psychology; Social Sciences"
3358;21100894506;"Veterinary and Animal Science";journal;"2451943X";"Elsevier B.V.";Yes;No;0,540;Q1;23;83;162;4229;395;162;2,63;50,95;34,08;0;17;Netherlands;Western Europe;"Elsevier B.V.";"2016-2025";"Animal Science and Zoology (Q1); Veterinary (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Veterinary"
3359;21101133556;"Clinics and Practice";journal;"20397283";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,540;Q2;16;217;354;10113;738;347;2,25;46,60;46,98;1;87;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2019-2025";"Medicine (miscellaneous) (Q2)";"Medicine"
3360;21100857955;"Data Technologies and Applications";journal;"25149288, 25149318";"Emerald Publishing";Yes;No;0,540;Q2;37;45;109;2065;368;109;2,78;45,89;37,29;0;9;United Kingdom;Western Europe;"Emerald Publishing";"2018-2025";"Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
3361;19300156901;"Dose-Response";journal;"15593258";"SAGE Publications Inc.";Yes;No;0,540;Q2;51;54;306;2340;819;276;2,46;43,33;44,93;0;15;United States;Northern America;"SAGE Publications Inc.";"2008-2025";"Public Health, Environmental and Occupational Health (Q2); Chemical Health and Safety (Q3); Health, Toxicology and Mutagenesis (Q3); Toxicology (Q3)";"Chemical Engineering; Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
3362;21101071063;"Revista de Gestao";journal;"18092276, 21778736";"Emerald Group Publishing Ltd.";Yes;Yes;0,540;Q2;20;28;78;1153;278;72;3,69;41,18;28,79;0;6;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2018-2025";"Business and International Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Marketing (Q3)";"Business, Management and Accounting"
3363;19700177321;"ecancermedicalscience";journal;"17546605";"Cancer Intellilgence";Yes;No;0,540;Q3;51;174;491;6542;717;491;1,32;37,60;48,89;0;167;United Kingdom;Western Europe;"Cancer Intellilgence";"2007, 2009-2025";"Cancer Research (Q3); Oncology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3364;26112;"Frontiers of Hormone Research";journal;"03013073";"S. Karger AG";Yes;No;0,540;Q3;47;17;13;895;21;11;0,00;52,65;47,30;0;3;Switzerland;Western Europe;"S. Karger AG";"1975, 1977, 1984, 1996-1997, 1999, 2001-2002, 2004-2010, 2013-2019, 2021, 2024";"Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3365;21101253551;"Mechanobiology in Medicine";journal;"29499070";"Elsevier B.V.";Yes;No;0,540;Q3;5;41;20;3127;58;13;2,90;76,27;45,45;0;13;Netherlands;Western Europe;"Elsevier B.V.";"2023-2025";"Biomaterials (Q3)";"Materials Science"
3366;21100199534;"Teoria de la Educacion";journal;"11303743, 23865660";"Universidad de Salamanca, Facultad de EducaciOn";Yes;Yes;0,539;Q1;19;21;70;1110;151;70;2,24;52,86;48,65;0;9;Spain;Western Europe;"Universidad de Salamanca, Facultad de EducaciOn";"2008-2025";"Philosophy (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
3367;21100872725;"Coatings";journal;"20796412";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,539;Q2;85;1605;5599;77010;18160;5440;3,06;47,98;35,68;1;347;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2011-2025";"Materials Chemistry (Q2); Surfaces and Interfaces (Q2); Surfaces, Coatings and Films (Q2)";"Materials Science; Physics and Astronomy"
3368;21100814032;"Cogent Economics and Finance";journal;"23322039";"Taylor and Francis Ltd.";Yes;No;0,539;Q2;45;309;909;19289;3217;893;3,43;62,42;24,86;1;227;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2025";"Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
3369;12474;"Journal of Engineering and Applied Science";journal;"11101903, 25369512";"";Yes;Yes;0,539;Q2;21;228;322;9020;1147;322;3,49;39,56;28,35;0;84;Germany;Western Europe;"";"1996-2025";"Engineering (miscellaneous) (Q2)";"Engineering"
3370;12479;"Journal of Engineering Design";journal;"14661837, 09544828";"Taylor and Francis Ltd.";Yes;No;0,539;Q2;65;112;116;6544;455;113;3,73;58,43;31,13;0;27;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1984-1985, 1990-2025";"Engineering (miscellaneous) (Q2)";"Engineering"
3371;19700201603;"Journal of Nanotechnology";journal;"16879503, 16879511";"John Wiley and Sons Ltd";Yes;No;0,539;Q2;48;22;63;1328;283;63;4,35;60,36;23,60;0;8;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2010-2024";"Materials Science (miscellaneous) (Q2)";"Materials Science"
3372;19700201345;"Nutrition Research and Practice";journal;"19761457, 20056168";"The Korean Society of Community Nutrition";Yes;No;0,539;Q2;50;65;233;2811;492;233;1,63;43,25;62,50;0;31;South Korea;Asiatic Region;"The Korean Society of Community Nutrition";"2010-2024";"Food Science (Q2); Nutrition and Dietetics (Q3)";"Agricultural and Biological Sciences; Nursing"
3373;21101133622;"Cancer Innovation";journal;"27709191, 27709183";"John Wiley and Sons Inc";Yes;No;0,538;Q2;7;48;76;2830;157;68;2,07;58,96;43,09;0;45;United States;Northern America;"John Wiley and Sons Inc";"2022-2025";"Drug Discovery (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Oncology (Q3); Pharmacology (medical) (Q3); Cancer Research (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
3374;19900191967;"Italian Journal of Agronomy";journal;"20396805, 11254718";"Elsevier B.V.";Yes;No;0,538;Q2;36;24;112;1300;304;108;2,07;54,17;40,63;0;11;Netherlands;Western Europe;"Elsevier B.V.";"2008-2025";"Agronomy and Crop Science (Q2)";"Agricultural and Biological Sciences"
3375;21101146379;"Journal of Geomechanics";journal;"10066616";"Chinese Academy of Geological Sciences Institute of Geomechanics";Yes;No;0,538;Q2;21;65;221;4710;437;219;2,01;72,46;28,68;0;26;China;Asiatic Region;"Chinese Academy of Geological Sciences Institute of Geomechanics";"2019-2024";"Geochemistry and Petrology (Q2); Geology (Q2); Geophysics (Q2); Geotechnical Engineering and Engineering Geology (Q2)";"Earth and Planetary Sciences"
